Name,Address,Category,Organization Type,Description,Services,Career Fields,Student Connections,Website,Phone,Email,Record ID,Source
Hangar 7 Social House,"300 N 12th St, Lompoc, CA 93436",Food & Drink,Business,Aerospace-inspired social house and restaurant.,Hospitality • Food service • Events • Marketing,,,https://explorelompoc.com/directory/hangar-7-lompoc/,,,LOM-HANGAR7,Lompoc starter directory
Herb Home Thai Restaurant,"426 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Thai cuisine • Food preparation • Restaurant service • Customer service,Culinary arts • Hospitality • Small business,Career exploration,https://www.google.com/maps/search/?api=1&query=Herb+Home+Thai+Restaurant%2C+Lompoc%2C+CA,,,LOM-HERBHOME,Momentum local business research; reviewed 2026-08
Izzie's Foodies Place,"426 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant serving breakfast, lunch, and dinner.",Restaurant service • Cooking • Customer service,,,https://explorelompoc.com/directory/izziefoodiesplace/,,,LOM-IZZIES,Lompoc starter directory
Jalama Beach Store & Grill,"9999 Jalama Rd, Lompoc, CA 93436",Food & Drink,Business,"Regional Lompoc-area destination known for food service, retail, and visitor hospitality at Jalama Beach.",Food service • Retail • Visitor service • Beach hospitality,Culinary arts • Hospitality • Tourism • Retail,Career exploration • Hospitality inquiry,https://www.jalamabeach.com/,,,LOM-JALAMAGRILL,Momentum local business research; reviewed 2026-08
La Botte Italian Ristorante,"Lompoc, CA",Food & Drink,Business,Family-operated Italian restaurant.,Cooking • Hospitality • Customer service,,,https://explorelompoc.com/directory/labotteitalianrestaurant/,,,LOM-LABOTTE,Lompoc starter directory
La Reyna Tortillería,"401 W Ocean Ave, Lompoc, CA 93436",Food & Drink,Business,"Local tortilleria & market connection for career exploration, projects, and community outreach.",Tortilla production • Food retail • Customer service • Small business,Culinary arts • Food production • Retail • Entrepreneurship,Career exploration • Food-production inquiry,https://www.google.com/maps/search/?api=1&query=La+Reyna+Tortilleria%2C+Lompoc%2C+CA,,,LOM-LAREYNA,Momentum local business research; reviewed 2026-08
Lompoc Empty Bowls,"Lompoc, CA",Food & Drink,Nonprofit,Community fundraising and food-security support.,Fundraising • Food security • Events • Volunteer service,,,https://www.facebook.com/LompocEmptyBowls/,,,LOM-EMPTYBOWLS,Lompoc starter directory
Lompoc Pizza,"Lompoc, CA",Food & Drink,Business,Local pizza business.,Food preparation • Customer service,,,https://explorelompoc.com/casual-eats/,,,LOM-PIZZA,Lompoc starter directory
Mama's Caffè,"Lompoc, CA",Food & Drink,Business,Family-operated café and restaurant.,Coffee • Food service • Hospitality,,,https://explorelompoc.com/directory/labotteitalianrestaurant/,,,LOM-MAMAS,Lompoc starter directory
Mi Amore Pizza and Pasta,"Lompoc, CA",Food & Drink,Business,Family-owned Italian restaurant.,Cooking • Food service • Customer service,,,https://explorelompoc.com/restaurants/,,,LOM-MIAMORE,Lompoc starter directory
O'Cairns Bistro,"Lompoc, CA",Food & Drink,Business,"Breakfast, lunch, and dinner restaurant.",Food service • Cooking • Hospitality,,,https://explorelompoc.com/breakfast/,,,LOM-OCAIRNS,Lompoc starter directory
Old Town Kitchen & Bar,"319 E Ocean Ave, Lompoc, CA 93436",Food & Drink,Business,Local restaurant and hospitality business.,Restaurant service • Cooking • Hospitality • Management,,,https://www.oldtownkitchenlompoc.com/,,,LOM-OLDTOWN,Momentum local business research; reviewed 2026-08
One Room Coffee Shop,"Lompoc, CA",Food & Drink,Business,Local coffee shop.,Coffee • Baking • Customer service,,,https://www.oneroomcoffee.com/,,,LOM-ONEROOM,Momentum local business research; reviewed 2026-08
Sassafrass,"Lompoc, CA",Food & Drink,Business,Local casual dining business.,Food service • Customer service,,,https://explorelompoc.com/casual-eats/,,,LOM-SASSAFRASS,Lompoc starter directory
Sissy's Uptown Café,"Lompoc, CA",Food & Drink,Business,Family-owned café.,Food service • Baking • Customer service,,,https://explorelompoc.com/blog/5-family-owned-restaurants-in-lompoc-that-locals-love/,,,LOM-SISSYS,Lompoc starter directory
South Side Coffee Co.,"105 S H St, Lompoc, CA 93436",Food & Drink,Business,Locally operated coffeehouse and café with connections to Lompoc art and community life.,Coffee and tea • Breakfast and lunch • Customer service • Local art displays • Small business operations,Hospitality • Culinary arts • Customer service • Marketing • Entrepreneurship,Career conversation inquiry • Small-business exploration,https://explorelompoc.com/directory/southsidecoffeecompanycaf/,805-737-3730,,LOM-SOUTHSIDE-COFFEE,Momentum Lompoc directory v23.1.0
Sushi Teri — Lompoc,"213 W Ocean Ave, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Sushi preparation • Restaurant service • Customer service • Kitchen operations,Culinary arts • Hospitality • Food safety,Career exploration • Culinary inquiry,https://www.sushiteri.com/,,,LOM-SUSHITERI,Momentum local business research; reviewed 2026-08
Suvan's Kitchen,"129 W Central Ave, Suite E, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Thai and Lao cuisine • Food preparation • Restaurant service • Customer service,Culinary arts • Hospitality • Small business,Career exploration • Small-business interview,https://www.google.com/maps/search/?api=1&query=Suvan%27s+Kitchen%2C+Lompoc%2C+CA,,,LOM-SUVANS,Momentum local business research; reviewed 2026-08
Sweet Baking Co.,"Lompoc, CA",Food & Drink,Business,Local bakery and custom cakery.,Baking • Cake decorating • Customer service,,,https://explorelompoc.com/blog/top-places-to-satisfy-your-sweet-tooth-in-lompoc/,,,LOM-SWEETBAKING,Lompoc starter directory
Tacos y Mariscos La Michoacana,"Lompoc, CA",Food & Drink,Business,Family-operated Mexican restaurant.,Cooking • Food preparation,,,https://explorelompoc.com/restaurants/,,,LOM-LAMICHOACANA,Lompoc starter directory
TEAklish Boba & Cafe,"517 W Central Ave, Lompoc, CA 93436",Food & Drink,Business,Local boba and café business.,Boba tea • Food service • Customer service • Marketing • Small business,,,https://teaklish-boba-cafe.snackpass.site/,,,LOM-TEAKLISH,Lompoc starter directory
Thai Cuisine — Lompoc,"Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Thai cuisine • Food preparation • Restaurant service • Customer service,Culinary arts • Hospitality • Small business,Career exploration,https://thaicuisinelompoc.com/,,,LOM-THAICUISINE,Momentum local business research; reviewed 2026-08
Tom's Burgers,"115 E College Ave, Suite 13, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Restaurant service • Grill cooking • Customer service • Small business,Culinary arts • Hospitality • Entrepreneurship,Career exploration • Small-business interview,https://tomsburgerslompoc.com/,,,LOM-TOMS,Momentum local business research; reviewed 2026-08
Toro Loco,"200 E Ocean Ave and 129 W Central Ave, Lompoc, CA 93436",Food & Drink,Business,Locally operated Mexican restaurant with multiple Lompoc locations.,Restaurant service • Food preparation • Customer service • Multi-location operations,Culinary arts • Hospitality • Management • Entrepreneurship,Career conversation inquiry,https://explorelompoc.com/directory/toro-loco/,,,LOM-TORO-LOCO,Momentum Lompoc directory v23.1.0
Valle Eatery & Bar,"1201 N H St, Lompoc, CA 93436",Food & Drink,Business,"Local restaurant connection for career exploration, projects, and community outreach.",Restaurant service • Seasonal cooking • Guest service • Event dining,Culinary arts • Hospitality • Tourism • Business,Career exploration • Hospitality inquiry,https://www.valleeatery.com/,,,LOM-VALLEEATERY,Momentum local business research; reviewed 2026-08
Village Coffee Stop & Catering,"3734 Constellation Rd, Suite J, Lompoc, CA 93436",Food & Drink,Business,"Local cafe & catering connection for career exploration, projects, and community outreach.",Coffee service • Catering • Food preparation • Customer service,Culinary arts • Hospitality • Entrepreneurship,Career exploration • Small-business interview,https://www.google.com/maps/search/?api=1&query=Village+Coffee+Stop+%26+Catering%2C+Lompoc%2C+CA,,,LOM-VILLAGECOFFEE,Momentum local business research; reviewed 2026-08
CAL FIRE / Santa Barbara County Fire,Lompoc area,Government & Public Service,Government,Regional fire and emergency-response careers.,Fire service • Emergency response • Forestry • Public safety,,,https://www.sbcfire.com/,,,LOM-CALFIRE,Lompoc starter directory
City of Lompoc,"100 Civic Center Plaza, Lompoc, CA 93436",Government & Public Service,Government,City departments and public-service career areas.,Public works • Library • Parks • Utilities • Fire • Police • Administration,,,https://www.cityoflompoc.com/government/departments,,,LOM-CITY,Lompoc starter directory
La Purísima Mission State Historic Park,"2295 Purisima Rd, Lompoc, CA 93436",Government & Public Service,Government,"California State Historic Park with interpretation, education, preservation, and volunteer roles.",State park operations • Historic interpretation • Natural resources • Visitor services • Educational programs,Parks and recreation • History • Environmental science • Education • Public service,Interpretive volunteer inquiry • Career visit inquiry,https://www.parks.ca.gov/lapurisimamission,805-733-3713,LPM.SpecialEvents@parks.ca.gov,LOM-LA-PURISIMA,Momentum Lompoc directory v23.1.0
Lompoc Fire Department,"115 S G St, Lompoc, CA 93436",Government & Public Service,Public Safety,Fire and emergency-services careers.,Fire service • Emergency response • Public safety,,,https://www.cityoflompoc.com/government/departments/fire-department,,,LOM-FIRE,Lompoc starter directory
Lompoc Parks & Recreation,"125 W Walnut Ave, Lompoc, CA 93436",Government & Public Service,Government,Community recreation and youth programming.,Recreation • Sports • Youth programs • Events,,,https://www.cityoflompoc.com/government/departments/parks-recreation,,,LOM-REC,Lompoc starter directory
Lompoc Police Department,"107 Civic Center Plaza, Lompoc, CA 93436",Government & Public Service,Public Safety,Police and public-safety careers.,Law enforcement • Dispatch • Community service • Public safety,,,https://www.cityoflompoc.com/government/departments/police,,,LOM-POLICE,Lompoc starter directory
Lompoc Public Library,"501 E North Ave, Lompoc, CA 93436",Government & Public Service,Government,Public library and community learning services.,Libraries • Education • Technology • Community service,,,https://www.cityoflompoc.com/government/departments/library,,,LOM-LIBRARY,Lompoc starter directory
Santa Barbara County Library Services,"Lompoc, CA",Government & Public Service,Government,County government and public-service career areas.,Public service • Records • Community programs • Administration,,,https://www.countyofsb.org/,,,LOM-COUNTYLIB,Lompoc starter directory
Santa Barbara County Probation,"Lompoc, CA",Government & Public Service,Government,County probation and youth-service careers.,Youth services • Public safety • Case management • Administration,,,https://www.countyofsb.org/230/Probation,,,LOM-PROBATION,Lompoc starter directory
Santa Barbara County Superior Court — Lompoc,"115 Civic Center Plaza, Lompoc, CA 93436",Government & Public Service,Government,Court and legal-system career exploration.,Law • Court operations • Clerical work • Public service,,,https://www.sbcourts.org/,,,LOM-SUPCOURT,Lompoc starter directory
Vandenberg Village Community Services District,"Vandenberg Village, Lompoc, CA 93436",Government & Public Service,Government,"Local community services district connection for career exploration, projects, and community outreach.",Water services • Wastewater services • Public administration • Infrastructure,Public administration • Utilities • Engineering • Environmental services,Career exploration • Public-service inquiry,https://vvcsd.org/,,,LOM-VVCSD,Momentum local business research; reviewed 2026-08
Assisted Home Health & Hospice,"604 E Ocean Ave, Suite H, Lompoc, CA 93436",Healthcare,Healthcare,,Home health • Hospice care • Caregiver services,Nursing • Home health • Social work • Healthcare administration,Healthcare career conversation inquiry,https://www.assistedcares.com/,805-688-5222,,LOM-ASSISTED-HOME,Lompoc Valley Chamber member directory; reviewed 2026-08
Chiropractic Health Center,"133 N G St, Lompoc, CA 93436",Healthcare,Healthcare,,Chiropractic care • Patient service • Wellness,Chiropractic • Healthcare administration • Patient service,Potential partner inquiry,,805-735-7763,,LOM-CHIROPRACTIC,Lompoc Valley Chamber member directory; reviewed 2026-08
Community Health Centers — Lompoc,"425 W Central Ave, Suite 201, Lompoc, CA 93436",Healthcare,Healthcare,,Primary care • Community health • Patient services,Medicine • Nursing • Medical assisting • Public health • Clinic administration,Health-career exploration inquiry,https://www.communityhealthcenters.org/,805-737-1169,,LOM-CHC,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Health Care Center,"301 N R St, Lompoc, CA 93436",Healthcare,Business,County health services.,Public health • Nursing • Medical services • Administration,,,https://www.countyofsb.org/732/Lompoc-Health-Care-Center,,,LOM-LOMPOC-HC,Lompoc starter directory
Lompoc Skilled Nursing & Rehabilitation Center,"1428 W North Ave, Lompoc, CA 93436",Healthcare,Healthcare,,Skilled nursing • Rehabilitation • Resident support,Nursing • Physical therapy • Occupational therapy • Healthcare administration,Potential partner inquiry,,805-735-4010,,LOM-SKILLED-NURSING,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Valley Community Healthcare Organization,"1593 E Chestnut Ave, Lompoc, CA 93436",Healthcare,Nonprofit,,Community health forums • Health education • Local collaboration,Public health • Community organizing • Healthcare policy • Nonprofit management,Potential partner inquiry,https://members.lompoc.com/list/member/lompoc-valley-community-healthcare-organization-958,805-736-4509,,LOM-LVCHO,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Valley Medical Center,"1515 E Ocean Ave, Lompoc, CA 93436",Healthcare,Business,Hospital and healthcare career exploration.,Nursing • Medical assisting • Administration • Facilities • Nutrition,,,https://lompocvmc.com/,,,LOM-LVMC,Lompoc starter directory
Santa Barbara County Public Health,"301 N R St, Lompoc, CA 93436",Healthcare,Government,County public-health services.,Public health • Nursing • Administration • Community outreach,,,https://www.countyofsb.org/732/Lompoc-Health-Care-Center,,,LOM-PUBLICHEALTH,Lompoc starter directory
Savie Health Free Clinic,"1111 E Ocean Ave, Suite 4A, Lompoc, CA 93436",Healthcare,Nonprofit,"Local free clinic connection for career exploration, projects, and community outreach.",Free medical care • Patient support • Health education • Community outreach,Healthcare • Public health • Social services • Administration,Volunteer inquiry • Healthcare career exploration,https://saviehealth.org/,,,LOM-SAVIEHEALTH,Momentum local business research; reviewed 2026-08
Superior Senior Home Care,"Lompoc, CA 93436",Healthcare,Business,"Local senior care connection for career exploration, projects, and community outreach.",In-home care • Senior support • Care coordination • Companionship,Healthcare • Human services • Gerontology • Administration,Career exploration • Healthcare inquiry,https://www.google.com/maps/search/?api=1&query=Superior+Senior+Home+Care+Lompoc%2C+Lompoc%2C+CA,,,LOM-SUPERIORSENIOR,Momentum local business research; reviewed 2026-08
Transitions-Mental Health Association — Lompoc,Lompoc service area,Healthcare,Nonprofit,,Mental health support • Housing support • Community wellness,Behavioral health • Social work • Peer support • Nonprofit services,Behavioral-health career conversation inquiry,https://www.tmha.org/,,,LOM-TRANSITIONS,Lompoc Valley Chamber member directory; reviewed 2026-08
Valley Medical Group,"136 N Third St, Lompoc, CA 93436",Healthcare,Healthcare,,Medical care • Patient services • Office administration,Medicine • Medical assisting • Healthcare administration • Patient service,Potential partner inquiry,,805-736-1253,,LOM-VALLEY-MEDICAL-GROUP,Lompoc Valley Chamber member directory; reviewed 2026-08
Brewer-Clifton,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery & tasting connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Hospitality • Direct-to-consumer sales,Viticulture • Food science • Hospitality • Marketing,Career exploration • Winemaking inquiry,https://www.brewerclifton.com/,,,LOM-BREWERCLIFTON,Momentum local business research; reviewed 2026-08
D'Alfonso-Curran Wines,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Vineyard partnerships • Marketing,Viticulture • Food science • Agriculture • Marketing,Career exploration • Winemaking inquiry,https://www.dalfonsocurran.com/,,,LOM-DALFONSOCURRAN,Momentum local business research; reviewed 2026-08
Embassy Suites by Hilton Lompoc,"1117 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,Hotel and hospitality careers.,Hospitality • Front desk • Housekeeping • Food service • Management,,,https://www.hilton.com/en/hotels/slolpes-embassy-suites-lompoc-central-coast/,,,LOM-EMBASSY,Lompoc starter directory
Explore Lompoc,"Lompoc, CA 93436",Hospitality & Tourism,Business Organization,Official tourism and destination-marketing organization for Lompoc.,Destination marketing • Local business promotion • Visitor information • Events • Digital content,Marketing • Tourism • Photography • Writing • Business development,Marketing project inquiry • Tourism career exploration,https://explorelompoc.com/,,,LOM-EXPLORE-LOMPOC,Momentum Lompoc directory v23.1.0
Fiddlehead Cellars,"1597 E Chestnut Ave, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery & tasting connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Tasting service • Marketing,Viticulture • Food science • Hospitality • Marketing,Career exploration • Winemaking inquiry,https://www.fiddleheadcellars.com/,,,LOM-FIDDLEHEAD,Momentum local business research; reviewed 2026-08
Hilton Garden Inn Lompoc,"1201 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,Hotel and hospitality operations.,Hospitality • Food service • Front desk • Management,,,https://www.hilton.com/en/hotels/sbplogi-hilton-garden-inn-lompoc/,,,LOM-HILTON,Lompoc starter directory
Holiday Inn Express Lompoc,"1417 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local hotel connection for career exploration, projects, and community outreach.",Guest services • Housekeeping • Hospitality operations • Breakfast service,Hospitality • Tourism • Business • Customer service,Career exploration • Hospitality employment inquiry,https://www.ihg.com/holidayinnexpress/hotels/us/en/lompoc/lpcca/hoteldetail,,,LOM-HOLIDAYINN,Momentum local business research; reviewed 2026-08
Holus Bolus & The Joy Fantastic,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Vineyard operations • Marketing,Viticulture • Agriculture • Food science • Marketing,Career exploration • Wine-industry inquiry,https://www.holusboluswine.com/,,,LOM-HOLUSBOLUS,Momentum local business research; reviewed 2026-08
Inn at Highway 1,"1200 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local hotel connection for career exploration, projects, and community outreach.",Guest services • Housekeeping • Reservations • Hospitality operations,Hospitality • Tourism • Business • Customer service,Career exploration • Hospitality inquiry,https://www.innathighway1.com/,,,LOM-INNHWY1,Momentum local business research; reviewed 2026-08
Inn of Lompoc,"1122 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local hotel connection for career exploration, projects, and community outreach.",Guest services • Housekeeping • Reservations • Property operations,Hospitality • Tourism • Business • Facilities,Career exploration • Hospitality inquiry,https://www.innlompoc.com/,,,LOM-INNOFLOMPOC,Momentum local business research; reviewed 2026-08
Jalama Beach County Park,"9999 Jalama Rd, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local park & campground connection for career exploration, projects, and community outreach.",Park operations • Campground service • Visitor assistance • Outdoor recreation,Parks and recreation • Hospitality • Environmental stewardship • Tourism,Career exploration • Public-lands inquiry,https://www.countyofsb.org/833/Jalama-Beach,,,LOM-JALAMAPARK,Momentum local business research; reviewed 2026-08
Lompoc Valley Inn & Suites,"1621 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,Current hotel name for the property formerly branded SureStay Plus; local hospitality and guest-service connection.,Guest services • Housekeeping • Reservations • Property operations,Hospitality • Tourism • Business • Facilities,Career exploration • Hospitality inquiry,https://lompocvalleyinnandsuites.com/,,,LOM-VALLEYINN,Momentum local business research; reviewed 2026-08
Longoria Wines,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery & tasting connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Tasting service • Direct sales,Viticulture • Food science • Hospitality • Sales,Career exploration • Wine-industry inquiry,https://www.longoriawine.com/,,,LOM-LONGORIA,Momentum local business research; reviewed 2026-08
Montemar Wines,"Lompoc Wine Ghetto, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery & tasting connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Tasting service • Customer service,Viticulture • Food science • Hospitality • Business,Career exploration • Wine-industry inquiry,https://www.montemarwines.com/,,,LOM-MONTEMAR,Momentum local business research; reviewed 2026-08
Motel 6 Lompoc,"1521 N H St, Lompoc, CA 93436",Hospitality & Tourism,Business,"Local hotel connection for career exploration, projects, and community outreach.",Guest services • Housekeeping • Reservations • Property operations,Hospitality • Tourism • Customer service • Facilities,Career exploration • Employment inquiry,https://motel6.com/property/motel-lompoc-california-us-293936/,,,LOM-MOTEL6,Momentum local business research; reviewed 2026-08
O'Cairns Inn & Suites,"940 E Ocean Ave, Lompoc, CA 93436",Hospitality & Tourism,Business,Locally operated hotel.,Hospitality • Front desk • Housekeeping • Maintenance,,,https://www.ocairnsinn.com/,,,LOM-OCAIRNINN,Lompoc starter directory
River Park RV Campground,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local campground & visitor service connection for career exploration, projects, and community outreach.",Campground operations • Visitor service • Grounds maintenance • Outdoor recreation,Hospitality • Tourism • Parks and recreation • Facilities,Career exploration • Outdoor-hospitality inquiry,https://www.cityoflompoc.com/government/departments/parks-recreation/parks/river-park,,,LOM-RIVERPARKRV,Momentum local business research; reviewed 2026-08
Sandhi Wines,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Cellar operations • Marketing,Viticulture • Food science • Agriculture • Marketing,Career exploration • Wine-industry inquiry,https://www.sandhiwines.com/,,,LOM-SANDHI,Momentum local business research; reviewed 2026-08
Sweetzer Cellars,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Hospitality • Direct sales,Viticulture • Food science • Hospitality • Business,Career exploration • Wine-industry inquiry,https://www.sweetzercellars.com/,,,LOM-SWEETZER,Momentum local business research; reviewed 2026-08
Transcendence Wines,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery & tasting connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Tasting service • Customer experience,Viticulture • Food science • Hospitality • Marketing,Career exploration • Wine-industry inquiry,https://www.transcendencewinery.com/,,,LOM-TRANSCENDENCE,Momentum local business research; reviewed 2026-08
Tyler Winery,"Lompoc, CA 93436",Hospitality & Tourism,Business,"Local winery connection for career exploration, projects, and community outreach.",Winemaking • Wine production • Cellar operations • Direct sales,Viticulture • Food science • Agriculture • Business,Career exploration • Winemaking inquiry,https://www.tylerwinery.com/,,,LOM-TYLERWINERY,Momentum local business research; reviewed 2026-08
Village Inn — Lompoc,"3955 Apollo Way, Lompoc, CA 93436",Hospitality & Tourism,Business,"Retro-modern Vandenberg Village hotel with guest service, events, food and beverage, and property-operations career paths.",Guest services • Housekeeping • Reservations • Property operations,Hospitality • Tourism • Customer service • Facilities,Career exploration • Hospitality inquiry,https://www.villageinnca.com/,,,LOM-VILLAGEINN,Momentum local business research; reviewed 2026-08
Albertsons,"1500 N H St, Lompoc, CA 93436",Markets,Business,Grocery retail.,Grocery • Bakery • Pharmacy • Customer service,,,https://local.albertsons.com/albertsons/ca/lompoc.html,,,LOM-ALBERTSONS,Lompoc starter directory
Carniceria Jalisco,"928 N H St, Lompoc, CA 93436",Markets,Business,"Local carniceria & market connection for career exploration, projects, and community outreach.",Meat market • Grocery retail • Food preparation • Customer service,Food service • Retail • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=Carniceria+Jalisco%2C+Lompoc%2C+CA,,,LOM-CARNICERIAJALISCO,Momentum local business research; reviewed 2026-08
Carnicería al Cien,"115 E College Ave, Suite 10, Lompoc, CA 93436",Markets,Business,"Local carniceria & market connection for career exploration, projects, and community outreach.",Meat market • Food retail • Customer service • Small business,Food service • Retail • Entrepreneurship • Customer service,Career exploration • Local-business interview,https://www.google.com/maps/search/?api=1&query=Carniceria+al+Cien%2C+Lompoc%2C+CA,,,LOM-CARNICERIA100,Momentum local business research; reviewed 2026-08
Foods Co — Lompoc,"601 W Central Ave, Lompoc, CA 93436",Markets,Business,"Local grocery store connection for career exploration, projects, and community outreach.",Grocery retail • Inventory • Customer service • Food operations,Retail • Logistics • Management • Customer service,Career exploration • Employment inquiry,https://www.foodsco.net/stores/grocery/ca/lompoc,,,LOM-FOODSCO,Momentum local business research; reviewed 2026-08
Grocery Outlet,"316 E Ocean Ave, Lompoc, CA 93436",Markets,Business,Discount grocery retail.,Retail • Inventory • Food • Customer service,,,https://www.groceryoutlet.com/circulars/storeid/214,,,LOM-GROCERY,Lompoc starter directory
Sunshine Market & Gas,"719 W Laurel Ave, Lompoc, CA 93436",Markets,Business,"Local market & fuel connection for career exploration, projects, and community outreach.",Convenience retail • Fuel service • Inventory • Customer service,Retail • Automotive service • Business • Customer service,Career exploration,https://sunshinefoodmartlompoc.com/,,,LOM-SUNSHINEMARKET,Momentum local business research; reviewed 2026-08
Super Carniceria La Chiquita,"819 W Laurel Ave, Lompoc, CA 93436",Markets,Business,"Local carniceria & market connection for career exploration, projects, and community outreach.",Meat market • Grocery retail • Food preparation • Customer service,Food service • Retail • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=Super+Carniceria+La+Chiquita%2C+Lompoc%2C+CA,,,LOM-LACHIQUITA,Momentum local business research; reviewed 2026-08
Village Market,"3734 Constellation Rd, Lompoc, CA 93436",Markets,Business,"Local grocery store connection for career exploration, projects, and community outreach.",Grocery retail • Inventory • Customer service • Local market operations,Retail • Food service • Business • Customer service,Career exploration,https://www.google.com/maps/search/?api=1&query=Village+Market+Vandenberg+Village%2C+Lompoc%2C+CA,,,LOM-VILLAGEMARKET,Momentum local business research; reviewed 2026-08
Vons,"729 N H St, Lompoc, CA 93436",Markets,Business,Grocery and pharmacy careers.,Grocery • Bakery • Pharmacy • Customer service • Management,,,https://local.vons.com/vons/ca/lompoc/729-n-h-st.html,,,LOM-VONS,Lompoc starter directory
America's Job Center of California — Lompoc Services,"Lompoc, CA 93436",Nonprofits & Youth,Community Organization,"Local workforce development connection for career exploration, projects, and community outreach.",Job search support • Career counseling • Training referrals • Employer services,Workforce development • Human resources • Career counseling • Administration,Career planning • Training referral,https://www.sbcwdb.org/,,,LOM-AJCC,Momentum local business research; reviewed 2026-08
CommUnify — Lompoc Services,Lompoc service area,Nonprofits & Youth,Nonprofit,,Family services • Senior services • Youth support • Community assistance,Human services • Social work • Community outreach • Program administration,Potential partner inquiry,https://www.communifysb.org/,805-964-8857,,LOM-COMMUNIFY,Lompoc Valley Chamber member directory; reviewed 2026-08
Community Partners in Caring,"Lompoc, CA",Nonprofits & Youth,Nonprofit,Volunteer-supported services for older adults and adults with disabilities.,Volunteer service • Senior support • Transportation • Community care,,,https://partnersincaring.org/,,,LOM-PARTNERSCARING,Lompoc starter directory
Dick DeWees Community & Senior Center,"1120 W Ocean Ave, Lompoc, CA 93436",Nonprofits & Youth,Government,,Senior programs • Community events • Facility operations,Recreation • Event management • Human services • Facility operations,Community-event volunteer inquiry,https://www.cityoflompoc.com/home/components/facilitydirectory/facilitydirectory/109/242,805-875-8090,,LOM-DICK-DEWEES,City of Lompoc official website; reviewed 2026-08
Family Service Agency — Lompoc,"Lompoc, CA",Nonprofits & Youth,Nonprofit,Family and community support services.,Family support • Counseling • Youth services • Community programs,,,https://fsacares.org/,,,LOM-FSA,Lompoc starter directory
Feeding Lompoc — Lompoc Food Pantry,"Lompoc, CA 93436",Nonprofits & Youth,Nonprofit,Local food pantry supporting Lompoc families and coordinating volunteer help.,Food pantry • Food donation pickup • Community assistance • Volunteer coordination,Community service • Logistics • Food systems • Nonprofit operations,Volunteer inquiry • Service-learning partner,https://www.feedinglompoc.org/,,,LOM-FEEDING-LOMPOC,Momentum Lompoc directory v23.1.0
Foodbank of Santa Barbara County — North County,"North Santa Barbara County, including Lompoc",Nonprofits & Youth,Nonprofit,Countywide food-access organization with North County volunteer opportunities including Lompoc.,Food distribution • Nutrition education • Volunteer shifts • Community outreach,Nutrition • Logistics • Community health • Nonprofit management,Volunteer shifts • Service-learning inquiry,https://foodbanksbc.org/give-help/volunteer/,,volunteersb@foodbanksbc.org,LOM-FOODBANK-SBC,Momentum Lompoc directory v23.1.0
FUTURE for Lompoc Youth,"Lompoc, CA",Nonprofits & Youth,Nonprofit,Youth development and career-readiness programs.,Youth programs • Career readiness • Customer service training • Mentoring,,,https://www.futureforlompocyouth.org/,,,LOM-FUTURE,Lompoc starter directory
